Дата;1 день;1 нед.;2 нед.;1 мес.;2 мес.;3 мес.;6 мес.;
30.12.16;10,37;10,38;10,41;10,43;10,49;10,49;10,49;
29.12.16;10,37;10,4;10,43;10,44;10,5;10,5;10,49;
28.12.16;10,45;10,44;10,47;10,49;10,55;10,55;10,51;
27.12.16;10,35;10,4;10,43;10,49;10,57;10,57;10,53;
26.12.16;10,34;10,41;10,43;10,48;10,56;10,56;10,52;
23.12.16;10,32;10,4;10,43;10,44;10,48;10,49;10,49;
22.12.16;10,33;10,41;10,44;10,46;10,5;10,51;10,52;
21.12.16;10,4;10,46;10,51;10,55;10,62;10,62;10,63;
20.12.16;10,38;10,47;10,52;10,56;10,64;10,65;10,64;
19.12.16;10,36;10,47;10,53;10,59;10,62;10,64;10,64;
16.12.16;10,33;10,44;10,53;10,59;10,62;10,64;10,64;
15.12.16;10,32;10,46;10,53;10,59;10,62;10,64;10,64;
14.12.16;10,35;10,51;10,53;10,61;10,62;10,64;10,64;
13.12.16;10,4;10,52;10,54;10,61;10,62;10,64;10,64;
12.12.16;10,48;10,51;10,54;10,61;10,62;10,64;10,64;
09.12.16;10,46;10,51;10,54;10,61;10,62;10,63;10,64;
08.12.16;10,45;10,51;10,54;10,58;10,6;10,62;10,63;
07.12.16;10,4;10,5;10,53;10,59;10,6;10,62;10,63;
06.12.16;10,44;10,5;10,52;10,59;10,6;10,62;10,63;
05.12.16;10,41;10,44;10,48;10,58;10,6;10,62;10,63;
02.12.16;10,33;10,43;10,48;10,59;10,6;10,62;10,62;
01.12.16;10,33;10,45;10,52;10,63;10,6;10,6;10,59;
30.11.16;10,38;10,48;10,53;10,63;10,6;10,6;10,59;
29.11.16;10,49;10,53;10,57;10,65;10,62;10,62;10,61;
28.11.16;10,51;10,49;10,5;10,58;10,6;10,62;10,62;
25.11.16;10,35;10,43;10,46;10,58;10,6;10,62;10,62;
24.11.16;10,38;10,43;10,46;10,58;10,6;10,62;10,62;
23.11.16;10,33;10,43;10,46;10,58;10,6;10,62;10,62;
22.11.16;10,33;10,43;10,47;10,58;10,6;10,62;10,62;
21.11.16;10,34;10,43;10,47;10,58;10,6;10,62;10,62;
18.11.16;10,3;10,41;10,46;10,58;10,6;10,62;10,62;
17.11.16;10,33;10,36;10,41;10,57;10,59;10,61;10,6;
16.11.16;10,27;10,29;10,33;10,48;10,55;10,55;10,5;
15.11.16;10,28;10,31;10,33;10,48;10,55;10,55;10,5;
14.11.16;10,24;10,28;10,3;10,48;10,55;10,55;10,5;
11.11.16;10,23;10,32;10,38;10,48;10,55;10,55;10,5;
10.11.16;10,19;10,28;10,37;10,48;10,55;10,55;10,5;
09.11.16;10,11;10,2;10,32;10,46;10,55;10,55;10,5;
08.11.16;9,67;10,08;10,23;10,43;10,55;10,55;10,52;
07.11.16;9,67;10,09;10,25;10,48;10,56;10,56;10,53;
03.11.16;9,77;10,14;10,32;10,54;10,58;10,58;10,58;
02.11.16;9,93;10,33;10,44;10,62;10,61;10,62;10,62;
01.11.16;10,5;10,54;10,56;10,63;10,62;10,63;10,63;
31.10.16;10,54;10,55;10,57;10,63;10,63;10,63;10,62;
28.10.16;10,52;10,53;10,56;10,6;10,6;10,6;10,59;
27.10.16;10,53;10,53;10,55;10,59;10,59;10,59;10,59;
26.10.16;10,53;10,53;10,55;10,59;10,59;10,59;10,59;
25.10.16;10,56;10,53;10,55;10,59;10,59;10,59;10,59;
24.10.16;10,53;10,54;10,56;10,59;10,58;10,58;10,58;
21.10.16;10,57;10,55;10,57;10,6;10,59;10,59;10,58;
20.10.16;10,58;10,56;10,58;10,61;10,59;10,58;10,58;
19.10.16;10,59;10,57;10,58;10,61;10,59;10,58;10,58;
18.10.16;10,58;10,56;10,58;10,61;10,59;10,58;10,58;
17.10.16;10,56;10,55;10,56;10,61;10,58;10,58;10,58;
14.10.16;10,66;10,58;10,55;10,61;10,58;10,58;10,58;
13.10.16;10,63;10,58;10,55;10,61;10,58;10,58;10,58;
12.10.16;10,62;10,55;10,54;10,59;10,57;10,59;10,58;
11.10.16;10,6;10,5;10,5;10,53;10,48;10,54;10,5;
10.10.16;10,54;10,48;10,48;10,51;10,46;10,52;10,49;
07.10.16;10,48;10,43;10,46;10,49;10,46;10,53;10,48;
06.10.16;10,39;10,38;10,43;10,47;10,46;10,53;10,46;
